Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
01-12-2008,Albury,13.4,22.9,0.6,NA,NA,W,44,W,WNW,20,24,71,22,1007.7,1007.1,8,NA,16.9,21.8,No,0,No
02-12-2008,Albury,7.4,25.1,0,NA,NA,WNW,44,NNW,WSW,4,22,44,25,1010.6,1007.8,NA,NA,17.2,24.3,No,0,No
03-12-2008,Albury,12.9,25.7,0,NA,NA,WSW,46,W,WSW,19,26,38,30,1007.6,1008.7,NA,2,21,23.2,No,0,No
04-12-2008,Albury,9.2,28,0,NA,NA,NE,24,SE,E,11,9,45,16,1017.6,1012.8,NA,NA,18.1,26.5,No,1,No
05-12-2008,Albury,17.5,32.3,1,NA,NA,W,41,ENE,NW,7,20,82,33,1010.8,1006,7,8,17.8,29.7,No,0.2,No
06-12-2008,Albury,14.6,29.7,0.2,NA,NA,WNW,56,W,W,19,24,55,23,1009.2,1005.4,NA,NA,20.6,28.9,No,0,No
07-12-2008,Albury,14.3,25,0,NA,NA,W,50,SW,W,20,24,49,19,1009.6,1008.2,1,NA,18.1,24.6,No,0,No
08-12-2008,Albury,7.7,26.7,0,NA,NA,W,35,SSE,W,6,17,48,19,1013.4,1010.1,NA,NA,16.3,25.5,No,0,No
09-12-2008,Albury,9.7,31.9,0,NA,NA,NNW,80,SE,NW,7,28,42,9,1008.9,1003.6,NA,NA,18.3,30.2,No,1.4,Yes
10-12-2008,Albury,13.1,30.1,1.4,NA,NA,W,28,S,SSE,15,11,58,27,1007,1005.7,NA,NA,20.1,28.2,Yes,0,No
11-12-2008,Albury,13.4,30.4,0,NA,NA,N,30,SSE,ESE,17,6,48,22,1011.8,1008.7,NA,NA,20.4,28.8,No,2.2,Yes
12-12-2008,Albury,15.9,21.7,2.2,NA,NA,NNE,31,NE,ENE,15,13,89,91,1010.5,1004.2,8,8,15.9,17,Yes,15.6,Yes
13-12-2008,Albury,15.9,18.6,15.6,NA,NA,W,61,NNW,NNW,28,28,76,93,994.3,993,8,8,17.4,15.8,Yes,3.6,Yes
14-12-2008,Albury,12.6,21,3.6,NA,NA,SW,44,W,SSW,24,20,65,43,1001.2,1001.8,NA,7,15.8,19.8,Yes,0,No
16-12-2008,Albury,9.8,27.7,NA,NA,NA,WNW,50,NA,WNW,NA,22,50,28,1013.4,1010.3,0,NA,17.3,26.2,No,0,No
17-12-2008,Albury,14.1,20.9,0,NA,NA,ENE,22,SSW,E,11,9,69,82,1012.2,1010.4,8,1,17.2,18.1,No,16.8,Yes
18-12-2008,Albury,13.5,22.9,16.8,NA,NA,W,63,N,WNW,6,20,80,65,1005.8,1002.2,8,1,18,21.5,Yes,10.6,Yes
19-12-2008,Albury,11.2,22.5,10.6,NA,NA,SSE,43,WSW,SW,24,17,47,32,1009.4,1009.7,NA,2,15.5,21,Yes,0,No
20-12-2008,Albury,9.8,25.6,0,NA,NA,SSE,26,SE,NNW,17,6,45,26,1019.2,1017.1,NA,NA,15.8,23.2,No,0,No
21-12-2008,Albury,11.5,29.3,0,NA,NA,S,24,SE,SE,9,9,56,28,1019.3,1014.8,NA,NA,19.1,27.3,No,0,No
08-09-2009,BadgerysCreek,5.6,20.1,5,NA,NA,W,35,N,NNW,9,22,60,42,1008.5,1007,NA,NA,15.4,19,Yes,0.2,No
09-09-2009,BadgerysCreek,4.1,20.5,0.2,NA,NA,WSW,43,W,WSW,13,30,49,41,1010.6,1009.7,NA,NA,14.7,18.5,No,0,No
10-09-2009,BadgerysCreek,2.6,22.3,0,NA,NA,WSW,26,NA,NNW,0,7,59,29,1016.3,1013.7,NA,NA,14.9,21.3,No,0,No
11-09-2009,BadgerysCreek,2.5,23.2,0,NA,NA,NNE,24,NNW,NNE,4,11,58,25,1022.9,1018.7,NA,NA,14.3,22.8,No,0,No
12-09-2009,BadgerysCreek,2.7,29.4,0,NA,NA,NNE,28,N,NE,6,17,52,24,1022.5,1018.6,NA,NA,15.3,29,No,0,No
13-09-2009,BadgerysCreek,4.4,30.6,0,NA,NA,NW,50,N,WNW,9,28,42,14,1019.8,1015.8,NA,NA,19.6,30.1,No,0,No
14-09-2009,BadgerysCreek,9.6,21,0,NA,NA,SE,39,SSE,ESE,26,15,65,64,1022.1,1021.6,NA,NA,18.5,16.8,No,0,No
15-09-2009,BadgerysCreek,13.1,23.3,0,NA,NA,ESE,28,NA,NE,0,13,82,54,1021.8,1016,NA,NA,15.8,22.9,No,0,No
16-09-2009,BadgerysCreek,10,21.5,0,NA,NA,E,20,WSW,E,9,11,65,76,1023.2,1019.8,NA,NA,17,20.1,No,0,No
17-09-2009,BadgerysCreek,12.4,32.7,0,NA,NA,NNW,54,NNE,NNW,11,28,99,24,1017.8,1010,NA,NA,16,30.5,No,0.2,No
18-09-2009,BadgerysCreek,12.6,24.7,0.2,NA,NA,W,48,SW,SSE,31,22,50,49,1018.4,1018.1,NA,NA,20.5,21.1,No,0,No
19-09-2009,BadgerysCreek,9.2,25,0,NA,NA,N,26,NNE,NNE,13,9,63,40,1019,1012.2,NA,NA,17.6,24.7,No,0,No
20-09-2009,BadgerysCreek,7.2,28.7,0,NA,NA,WSW,69,ENE,SSW,6,19,56,42,1015.2,1010.7,NA,NA,19.1,25.9,No,1,No
21-09-2009,BadgerysCreek,9.3,24.3,1,NA,NA,N,35,SW,SE,4,19,70,62,1015.2,1011.6,NA,NA,18.1,18.9,No,0.2,No
22-09-2009,BadgerysCreek,11.2,31.1,0.2,NA,NA,W,72,N,N,13,31,57,36,1003,998.2,NA,NA,24.1,30.5,No,12.6,Yes
23-09-2009,BadgerysCreek,15.1,21.1,12.6,NA,NA,NW,80,NW,WNW,35,20,48,43,997.6,999,NA,NA,16,19.3,Yes,0.2,No
06-03-2009,Cobar,11.9,26.4,0,8.4,12.1,WSW,41,SSW,WSW,11,9,52,28,1014.8,1012,0,0,16.7,24.9,No,0,No
07-03-2009,Cobar,13.1,29.6,0,8,12,SW,26,ESE,NE,11,7,42,18,1014.6,1012.4,0,0,18.7,27.8,No,0,No
08-03-2009,Cobar,16.5,33.2,0,9.4,12,E,46,SE,ESE,15,11,29,13,1014.2,1012,0,0,22.6,31.8,No,0,No
09-03-2009,Cobar,21.1,33.4,0,10.4,11.2,E,41,ENE,ENE,24,9,52,29,1015.8,1013.2,3,6,22.5,31.3,No,0,No
10-03-2009,Cobar,21.6,31.1,0,10.8,4.8,SW,61,ENE,E,30,11,49,34,1014.9,1013.7,7,7,24.2,28.5,No,0,No
11-03-2009,Cobar,19.5,31.4,0,6.8,10.5,ESE,46,ENE,ENE,26,19,54,34,1016.9,1014.4,1,1,21.8,30.2,No,0,No
12-03-2009,Cobar,21.6,32.2,0,11.2,5.8,NNE,48,ENE,N,28,20,54,35,1016.2,1013.2,6,5,23.9,31.2,No,9.2,Yes
13-03-2009,Cobar,18.5,29.6,9.2,7.6,6,NE,39,ENE,NE,13,6,86,43,1016.1,1013.3,5,6,20,28.8,Yes,1.2,Yes
15-07-2014,CoffsHarbour,10.9,18.7,0.6,NA,NA,NA,NA,NA,NA,NA,NA,90,64,NA,NA,NA,NA,13.4,18.2,No,0.2,No
16-07-2014,CoffsHarbour,12.3,21.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,74,57,NA,NA,NA,NA,16,20.7,No,0.4,No
17-07-2014,CoffsHarbour,5.3,19.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,52,47,NA,NA,NA,NA,15.4,18.1,No,0,No
18-07-2014,CoffsHarbour,2.1,17.3,0,NA,NA,NA,NA,NA,NA,NA,NA,50,30,NA,NA,NA,NA,13.7,16.5,No,0,No
19-07-2014,CoffsHarbour,10,18.6,0,NA,NA,NA,NA,NA,NA,NA,NA,43,40,NA,NA,NA,NA,13.6,17.8,No,0,No
20-07-2014,CoffsHarbour,11.9,20.6,0,NA,NA,NA,NA,NA,NA,NA,NA,57,60,NA,NA,NA,NA,16.3,18.8,No,0,No
21-07-2014,CoffsHarbour,13,17.8,0,NA,NA,NA,NA,NA,NA,NA,NA,74,68,NA,NA,NA,NA,14.8,16.8,No,3.8,Yes
22-07-2014,CoffsHarbour,8.8,18.9,3.8,NA,NA,NA,NA,NA,NA,NA,NA,79,75,NA,NA,NA,NA,15.2,16.2,Yes,0,No
07-01-2012,NorfolkIsland,19,23.7,0,5.4,12.7,SSW,46,SSW,SSW,31,26,59,61,1008.1,1007.8,2,4,21.2,22.6,No,3,Yes
08-01-2012,NorfolkIsland,17.8,22.7,3,8.8,11.9,S,37,S,SSW,20,28,70,59,1011.2,1010.3,2,2,21.5,22.2,Yes,0,No
09-01-2012,NorfolkIsland,17.3,22.9,0,7.8,11.5,WSW,30,SSW,SSW,15,19,53,47,1012.3,1011.1,2,1,20.8,21.3,No,0,No
10-01-2012,NorfolkIsland,15.5,23.1,0,8,9.2,WNW,33,NW,WNW,13,24,56,63,1011.7,1009.9,1,4,21.4,22.5,No,0,No
11-01-2012,NorfolkIsland,20.2,24.6,0,5.4,6.8,WNW,41,NNW,NW,20,22,83,81,1009.7,1008.5,7,6,22.6,24.1,No,0,No
12-01-2012,NorfolkIsland,21.6,24.6,0,5,2.8,NW,50,NW,NW,24,28,88,90,1008.3,1007.4,7,8,22.8,22.9,No,0,No
13-01-2012,NorfolkIsland,18.5,23.2,0,4,8.3,SSW,37,SW,SSW,19,19,60,57,1012.8,1012.9,3,7,21.9,22.2,No,0,No
14-01-2012,NorfolkIsland,16.7,23.2,0,6.6,10.1,SSE,28,E,SE,13,15,62,55,1015.4,1014.7,4,3,21.7,22.9,No,0,No
15-01-2012,NorfolkIsland,17.4,23.2,0,4.4,0,E,33,ESE,ESE,17,19,72,77,1017,1016.6,7,8,21.7,22,No,23.4,Yes
16-01-2012,NorfolkIsland,19.8,22.3,23.4,3.4,0,ESE,54,ESE,ESE,24,26,93,88,1019.7,1018.6,8,8,20.9,21.4,Yes,2,Yes
17-01-2012,NorfolkIsland,20,22.5,2,1.2,0.4,E,52,E,E,30,30,86,92,1021.6,1020.5,7,8,22,21.5,Yes,1.2,Yes
18-01-2012,NorfolkIsland,21.1,24.5,1.2,2.4,4.3,E,52,E,E,28,30,85,76,1020.6,1018.6,7,7,22.1,23.2,Yes,0,No
19-01-2012,NorfolkIsland,21,25.2,0,4.4,5.6,ENE,41,E,ENE,22,26,83,80,1017.2,1015.2,7,6,22.7,23.4,No,0,No
23-04-2010,Richmond,10.7,29.6,0.2,2.8,NA,NE,20,NNE,N,2,11,75,36,1021.1,1015.6,NA,NA,18.5,29,No,0,No
24-04-2010,Richmond,15.2,28.6,0,NA,NA,NW,39,NE,NW,13,26,71,45,1014.6,1009.6,NA,NA,20.1,28.1,No,5,Yes
25-04-2010,Richmond,16.2,22,5,NA,NA,ESE,31,NNW,NW,9,6,91,65,1014,1013.4,NA,NA,16.3,20.4,Yes,0.4,No
26-04-2010,Richmond,8,22.1,0.4,6.8,NA,SSW,22,S,W,2,7,70,33,1025.1,1022.3,NA,NA,15,21.9,No,0,No
27-04-2010,Richmond,4.6,18.9,0,NA,NA,NNW,20,NA,SW,0,9,91,60,1020.6,1017.8,NA,NA,11.1,18.4,No,0,No
29-04-2010,Richmond,6.7,24.8,NA,3,NA,WSW,35,NA,W,NA,9,68,36,1020.7,1017,NA,NA,16,24.5,No,0,No
30-04-2010,Richmond,5.5,18.5,0,3,NA,NE,13,NA,NA,0,0,86,71,1025.9,1024.9,NA,NA,12.7,18.5,No,0,No
01-05-2010,Richmond,12.7,22,0,NA,NA,NNE,24,NA,NE,0,15,86,63,1028,1024.4,NA,NA,16.1,21.6,No,0,No
02-05-2010,Richmond,7.6,25.2,0,NA,NA,SSE,15,NA,NA,0,0,99,40,1025.4,1022.1,NA,NA,13,24.9,No,0.2,No
03-05-2010,Richmond,10,22.8,0.2,4.4,NA,NW,17,NA,N,0,9,90,64,1028.5,1024.5,NA,NA,14.6,22.2,No,0,No
07-08-2010,Canberra,-4.2,12,0,1.6,8.4,E,17,NA,W,0,6,NA,31,1026.6,1022.8,1,3,2.9,11.1,No,0,No
08-08-2010,Canberra,-3.2,12.1,0,1.4,8.6,NNW,30,NA,N,0,17,NA,28,1022.1,1019.2,1,1,2.9,11.5,No,0,No
09-08-2010,Canberra,-3.6,15,0,2,9,NNE,31,ESE,NE,4,13,77,34,1024.1,1020.8,1,3,3.9,14.1,No,10.2,Yes
10-08-2010,Canberra,3.3,15,10.2,3.4,2.9,N,63,NNW,NE,4,24,90,82,1017.7,1012,8,7,9.9,13,Yes,12,Yes
11-08-2010,Canberra,5.8,7.9,12,4,1.2,NW,57,NW,NW,28,28,87,90,1008.4,1002.9,5,7,6.7,6.7,Yes,13.2,Yes
12-08-2010,Canberra,1.4,11.3,13.2,2,3.4,NW,43,NW,WSW,24,22,77,59,1003.5,1005,3,7,7.2,10.3,Yes,0.2,No
